,name,age,nationality,overall,potential,club,value,wage,international reputation,weak foot,skill moves,body type,position,joined,contract valid until,height,weight,aggression,release clause,preferred foot = left,improvement,attacking rate,defensive rate,control,defending,gk,passing,physical,shooting,skill,speed,heading
17,A. Griezmann,27,France,89,90,Atlético Madrid,78000000.0,145000.0,4.0,3.0,4.0,1.0,CAM,"Jul 28, 2014",2023,175.26,73.01587301587301,69.0,165800000.0,1.0,1,3,3,89.0,47.25,12.6,82.0,83.14285714285714,82.16666666666667,87.0,86.5,84.0
28,J. Rodríguez,26,Colombia,88,89,FC Bayern München,69500000.0,315000.0,4.0,3.0,4.0,2.0,CAM,,"Jun 30, 2019",180.34,78.0045351473923,64.0,,1.0,1,2,2,87.5,48.0,12.8,88.0,74.71428571428571,86.16666666666669,84.5,70.0,62.0
31,C. Eriksen,26,Denmark,88,91,Tottenham Hotspur,73500000.0,205000.0,3.0,5.0,4.0,1.0,CAM,"Aug 30, 2013",2020,180.34,76.19047619047619,46.0,141500000.0,0.0,3,3,2,87.5,48.5,8.6,86.0,76.57142857142857,82.16666666666667,87.0,74.0,52.0
61,Roberto Firmino,26,Brazil,86,87,Liverpool,53000000.0,195000.0,3.0,4.0,4.0,1.0,CAM,"Jul 6, 2015",2023,180.34,76.19047619047619,73.0,104700000.0,0.0,1,3,3,87.5,56.0,8.8,78.5,82.71428571428571,76.83333333333333,86.0,77.5,77.0
66,T. Müller,28,Germany,86,86,FC Bayern München,45000000.0,135000.0,4.0,4.0,3.0,1.0,CAM,"Aug 10, 2008",2021,185.42,74.82993197278911,57.0,74300000.0,0.0,0,3,3,78.5,46.75,10.4,79.5,79.57142857142857,74.16666666666667,88.5,74.0,82.0
74,M. Özil,29,Germany,86,86,Arsenal,43500000.0,190000.0,4.0,2.0,4.0,1.0,CAM,"Sep 2, 2013",2021,180.34,76.19047619047619,48.0,82700000.0,1.0,0,2,1,87.0,20.75,10.0,83.5,69.85714285714286,74.33333333333333,87.0,70.5,54.0
80,N. Fekir,24,France,85,89,Olympique Lyonnais,50000000.0,92000.0,3.0,3.0,4.0,3.0,CAM,"Jul 1, 2013",2020,172.72,74.82993197278911,73.0,98800000.0,1.0,4,3,2,89.5,30.25,12.2,79.5,83.0,81.5,81.0,79.0,49.0
96,A. Vidal,31,Chile,85,85,FC Barcelona,26000000.0,205000.0,4.0,4.0,3.0,2.0,CAM,"Aug 6, 2018",2021,180.34,74.82993197278911,93.0,53300000.0,0.0,0,2,2,79.0,84.75,3.2,79.0,80.14285714285714,78.5,80.0,57.5,82.0
101,R. Nainggolan,30,Belgium,85,85,Inter,35500000.0,105000.0,3.0,3.0,3.0,3.0,CAM,"Jul 1, 2018",2022,175.26,77.09750566893423,88.0,60400000.0,0.0,0,3,3,82.5,86.25,11.0,78.25,82.14285714285714,74.83333333333333,81.0,75.5,59.0
129,J. Cuadrado,30,Colombia,84,84,Juventus,29500000.0,150000.0,3.0,3.0,5.0,1.0,CAM,"Feb 2, 2015",2020,177.8,72.10884353741497,78.0,48700000.0,0.0,0,3,2,87.5,67.25,7.6,74.75,78.14285714285714,73.83333333333333,77.0,91.0,58.0
144,D. Payet,31,France,84,84,Olympique de Marseille,27500000.0,75000.0,3.0,4.0,4.0,2.0,CAM,"Jan 30, 2017",2021,175.26,77.09750566893423,57.0,52300000.0,0.0,0,3,1,88.0,36.0,12.2,82.0,72.71428571428571,81.33333333333333,83.0,73.5,59.0
166,Anderson Talisca,24,Brazil,83,90,Guangzhou Evergrande Taobao FC,36500000.0,18000.0,2.0,4.0,4.0,2.0,CAM,,"Dec 31, 2018",190.5,79.81859410430839,67.0,,1.0,7,3,2,83.0,54.25,11.8,78.5,71.42857142857143,82.66666666666667,83.5,76.5,77.0
171,H. Ziyech,25,Morocco,83,86,Ajax,32500000.0,28000.0,3.0,2.0,4.0,1.0,CAM,"Aug 30, 2016",2021,180.34,64.85260770975057,71.0,47900000.0,1.0,3,3,3,83.0,54.0,10.2,84.0,73.0,77.33333333333333,81.5,75.0,53.0
208,Giuliano,28,Brazil,83,83,Al Nassr,26000000.0,64000.0,2.0,3.0,4.0,3.0,CAM,"Aug 20, 2018",2021,172.72,68.02721088435375,71.0,44200000.0,0.0,0,3,2,84.0,43.0,11.4,75.75,78.57142857142857,75.0,80.5,82.0,59.0
254,J. Lingard,25,England,82,83,Manchester United,26500000.0,140000.0,2.0,3.0,4.0,1.0,CAM,"Jul 1, 2010",2021,175.26,62.13151927437642,73.0,51000000.0,0.0,1,3,3,83.0,53.0,10.8,72.0,77.42857142857143,74.33333333333333,84.0,83.0,64.0
263,Rafinha,25,Brazil,82,87,FC Barcelona,29500000.0,165000.0,2.0,4.0,4.0,2.0,CAM,"Jul 1, 2013",2020,175.26,71.20181405895691,44.0,62700000.0,1.0,5,3,3,85.5,69.5,10.4,77.5,75.0,72.83333333333333,79.0,70.5,55.0
282,J. Pastore,29,Argentina,82,82,Roma,21500000.0,84000.0,3.0,4.0,4.0,1.0,CAM,"Jul 1, 2018",2022,187.96,78.0045351473923,65.0,36600000.0,0.0,0,3,2,86.5,56.0,10.2,81.0,67.85714285714286,75.66666666666667,82.5,69.0,61.0
289,A. Ramsey,27,Wales,82,83,Arsenal,25000000.0,130000.0,3.0,3.0,3.0,1.0,CAM,"Jun 13, 2008",2019,182.88,76.19047619047619,73.0,49400000.0,0.0,1,3,3,81.5,68.0,8.0,79.5,75.85714285714286,73.33333333333333,81.5,66.5,58.0
292,G. Sigurðsson,28,Iceland,82,82,Everton,22500000.0,125000.0,3.0,5.0,3.0,2.0,CAM,"Aug 16, 2017",2022,185.42,82.08616780045352,57.0,42800000.0,0.0,0,3,3,82.5,56.0,11.6,81.25,73.57142857142857,83.0,82.5,56.5,60.0
295,N. Gaitán,30,Argentina,82,82,Dalian YiFang FC,21000000.0,22000.0,3.0,2.0,4.0,1.0,CAM,"Feb 27, 2018",2021,172.72,66.21315192743764,57.0,45200000.0,1.0,0,2,2,83.5,40.0,8.0,79.25,75.14285714285714,74.5,79.5,81.5,54.0
302,G. Wijnaldum,27,Netherlands,82,82,Liverpool,23000000.0,130000.0,3.0,3.0,4.0,1.0,CAM,"Jul 22, 2016",2021,175.26,68.93424036281178,64.0,43700000.0,0.0,0,3,3,84.0,72.5,10.8,75.0,80.28571428571429,72.83333333333333,78.5,76.5,72.0
320,Laure Santeiro,30,Brazil,81,81,Fluminense,17000000.0,40000.0,1.0,5.0,4.0,1.0,CAM,"Jan 1, 2018",2021,170.18,63.03854875283447,41.0,32300000.0,1.0,0,2,2,82.0,24.0,9.6,74.75,70.42857142857143,69.83333333333333,81.0,82.0,44.0
325,Pablo Fornals,22,Spain,81,86,Villarreal CF,24000000.0,36000.0,1.0,3.0,4.0,2.0,CAM,"Jul 24, 2017",2022,177.8,67.12018140589569,69.0,52200000.0,0.0,5,3,3,81.0,73.25,10.8,77.0,72.14285714285714,66.83333333333333,81.5,68.5,50.0
337,João Mário,25,Portugal,81,84,Inter,22500000.0,71000.0,3.0,4.0,4.0,2.0,CAM,"Aug 28, 2016",2021,177.8,73.01587301587301,60.0,39900000.0,0.0,3,2,2,83.0,65.25,9.0,76.75,74.85714285714286,69.83333333333333,79.0,71.0,55.0
360,J. Iličić,30,Slovenia,81,81,Atalanta,17000000.0,41000.0,3.0,3.0,4.0,1.0,CAM,"Jul 5, 2017",2021,190.5,78.91156462585032,58.0,28900000.0,1.0,0,2,2,85.0,39.25,10.4,78.5,65.28571428571429,81.83333333333333,81.0,68.5,58.0
