,name,age,nationality,overall,potential,club,value,wage,international reputation,weak foot,skill moves,body type,position,joined,contract valid until,height,weight,aggression,release clause,preferred foot = left,improvement,attacking rate,defensive rate,control,defending,gk,passing,physical,shooting,skill,speed,heading
8,Sergio Ramos,32,Spain,91,91,Real Madrid,51000000.0,380000.0,4.0,3.0,3.0,2.0,CB,"Aug 1, 2005",2020,182.88,82.08616780045352,88.0,104600000.0,0.0,0,3,2,73.5,90.0,9.2,71.75,81.57142857142857,69.83333333333333,61.5,75.5,91.0
12,D. Godín,32,Uruguay,90,90,Atlético Madrid,44000000.0,125000.0,3.0,3.0,2.0,1.0,CB,"Aug 4, 2010",2019,187.96,78.0045351473923,89.0,90200000.0,0.0,0,2,3,64.5,89.0,9.8,62.75,74.85714285714286,50.33333333333334,50.0,68.0,92.0
24,G. Chiellini,33,Italy,89,89,Juventus,27000000.0,215000.0,4.0,3.0,2.0,2.0,CB,"Jul 1, 2005",2020,187.96,84.80725623582768,92.0,44600000.0,1.0,0,2,3,57.5,91.0,3.0,55.25,74.0,50.16666666666666,39.0,69.0,83.0
34,M. Hummels,29,Germany,88,88,FC Bayern München,46000000.0,160000.0,4.0,3.0,3.0,2.0,CB,"Jul 1, 2016",2021,190.5,92.06349206349206,69.0,75900000.0,0.0,0,3,2,74.5,89.5,8.4,72.5,74.14285714285714,60.5,67.5,58.5,87.0
39,Thiago Silva,33,Brazil,88,88,Paris Saint-Germain,24000000.0,165000.0,4.0,3.0,2.0,2.0,CB,"Jul 1, 2012",2020,182.88,82.08616780045352,76.0,44400000.0,0.0,0,2,3,71.0,87.75,9.0,70.75,77.85714285714286,60.33333333333334,65.5,71.0,81.0
42,S. Umtiti,24,France,87,92,FC Barcelona,57000000.0,205000.0,3.0,3.0,2.0,2.0,CB,"Jul 12, 2016",2023,182.88,74.82993197278911,81.0,121100000.0,1.0,5,2,3,73.0,88.0,13.2,73.25,78.42857142857143,67.16666666666667,58.0,72.0,79.0
44,K. Koulibaly,27,Senegal,87,90,Napoli,51000000.0,115000.0,3.0,3.0,2.0,2.0,CB,"Jul 1, 2014",2021,187.96,88.8888888888889,87.0,90500000.0,0.0,3,3,3,63.0,88.25,8.6,41.5,70.57142857142857,29.66666666666667,33.5,71.5,81.0
51,J. Vertonghen,31,Belgium,87,87,Tottenham Hotspur,34000000.0,155000.0,3.0,3.0,3.0,2.0,CB,"Jul 1, 2012",2019,187.96,86.16780045351473,84.0,62900000.0,1.0,0,3,3,73.5,88.5,8.8,68.25,75.28571428571429,66.5,64.0,63.0,80.0
54,Piqué,31,Spain,87,87,FC Barcelona,34000000.0,240000.0,4.0,3.0,2.0,2.0,CB,"Jul 1, 2008",2022,193.04,84.80725623582768,72.0,69700000.0,0.0,0,3,2,68.5,87.25,11.6,68.75,69.42857142857143,57.83333333333334,60.0,54.5,83.0
59,V. van Dijk,26,Netherlands,86,88,Liverpool,44500000.0,165000.0,3.0,3.0,2.0,2.0,CB,"Jan 1, 2018",2023,193.04,92.06349206349206,81.0,87900000.0,0.0,2,2,2,71.5,86.75,11.6,63.0,75.14285714285714,64.83333333333333,50.0,75.5,82.0
62,R. Varane,25,France,86,91,Real Madrid,50000000.0,210000.0,3.0,3.0,2.0,1.0,CB,"Jul 1, 2011",2022,190.5,81.17913832199547,77.0,106300000.0,0.0,5,2,3,67.0,86.0,10.0,57.25,72.0,48.0,50.0,84.0,83.0
70,L. Bonucci,31,Italy,86,86,Juventus,30000000.0,160000.0,3.0,3.0,2.0,1.0,CB,"Aug 2, 2018",2023,190.5,84.80725623582768,82.0,49500000.0,0.0,0,1,3,72.0,86.5,2.6,66.0,74.42857142857143,62.33333333333334,56.0,61.0,86.0
71,T. Alderweireld,29,Belgium,86,87,Tottenham Hotspur,39000000.0,150000.0,3.0,3.0,2.0,2.0,CB,"Jul 8, 2015",2020,185.42,81.17913832199547,80.0,75100000.0,0.0,1,2,2,68.0,88.5,13.2,66.5,73.42857142857143,63.0,62.5,63.5,82.0
73,M. Benatia,31,Morocco,86,86,Juventus,30000000.0,160000.0,3.0,3.0,2.0,2.0,CB,"Aug 26, 2014",2020,187.96,93.87755102040815,86.0,49500000.0,0.0,0,2,3,64.0,86.75,7.4,54.75,74.42857142857143,39.833333333333336,42.5,70.0,83.0
77,M. Škriniar,23,Slovakia,85,92,Inter,46500000.0,82000.0,1.0,4.0,2.0,2.0,CB,"Jul 7, 2017",2022,187.96,79.81859410430839,86.0,88400000.0,0.0,7,2,3,63.0,87.0,11.0,54.5,70.71428571428571,40.333333333333336,43.5,71.5,80.0
88,K. Manolas,27,Greece,85,87,Roma,37500000.0,96000.0,3.0,2.0,2.0,2.0,CB,"Aug 26, 2014",2022,187.96,82.99319727891157,86.0,66599999.99999999,0.0,2,1,3,59.5,87.0,9.8,41.0,76.42857142857143,21.33333333333333,23.5,82.5,80.0
89,N. Otamendi,30,Argentina,85,85,Manchester City,28500000.0,170000.0,3.0,3.0,2.0,2.0,CB,"Aug 20, 2015",2022,182.88,81.17913832199547,91.0,52700000.0,0.0,0,3,3,60.5,84.0,9.6,64.0,74.85714285714286,52.16666666666666,52.0,59.0,85.0
95,J. Boateng,29,Germany,85,85,FC Bayern München,30000000.0,115000.0,4.0,4.0,2.0,3.0,CB,"Jul 14, 2011",2021,193.04,89.79591836734693,81.0,49500000.0,0.0,0,2,2,67.0,84.75,9.0,69.75,72.57142857142857,50.0,61.0,69.5,85.0
102,Naldo,35,Brazil,85,85,FC Schalke 04,9000000.0,38000.0,3.0,4.0,2.0,1.0,CB,"Jul 1, 2016",2020,198.12,91.156462585034,72.0,15300000.0,0.0,0,2,2,64.0,85.5,12.0,62.75,62.85714285714285,69.83333333333333,56.0,62.5,94.0
104,Miranda,33,Brazil,85,85,Inter,15500000.0,96000.0,3.0,3.0,2.0,1.0,CB,"Jul 1, 2017",2020,185.42,78.0045351473923,83.0,26400000.0,0.0,0,2,3,70.0,87.5,10.6,59.5,72.28571428571429,45.66666666666666,50.5,67.5,80.0
107,V. Kompany,32,Belgium,85,85,Manchester City,22000000.0,170000.0,4.0,3.0,2.0,2.0,CB,"Aug 22, 2008",2019,190.5,84.80725623582768,87.0,40700000.0,0.0,0,2,3,66.5,84.5,7.6,61.5,70.14285714285714,58.5,50.0,55.5,84.0
108,Pepe,35,Portugal,85,85,Beşiktaş JK,9000000.0,57000.0,4.0,3.0,2.0,1.0,CB,"Jul 4, 2017",2019,187.96,81.17913832199547,94.0,17100000.0,0.0,0,2,3,60.0,84.5,9.4,50.0,70.85714285714286,52.16666666666666,44.0,67.5,80.0
110,D. Sánchez,22,Colombia,84,88,Tottenham Hotspur,34000000.0,105000.0,2.0,3.0,2.0,2.0,CB,"Aug 26, 2017",2024,187.96,78.91156462585032,87.0,65500000.0,0.0,4,2,3,68.0,84.75,9.4,52.0,71.71428571428571,41.833333333333336,41.5,75.5,80.0
111,J. Giménez,23,Uruguay,84,88,Atlético Madrid,34000000.0,63000.0,2.0,3.0,2.0,2.0,CB,"Jul 1, 2013",2023,185.42,79.81859410430839,89.0,72300000.0,0.0,4,2,3,51.5,86.5,10.4,50.75,70.28571428571429,45.83333333333334,25.5,69.5,81.0
113,A. Laporte,24,France,84,88,Manchester City,34000000.0,135000.0,2.0,3.0,2.0,2.0,CB,"Jan 30, 2018",2023,187.96,84.80725623582768,75.0,65500000.0,1.0,4,2,2,66.0,85.75,9.0,63.0,69.14285714285714,55.66666666666666,55.5,64.0,85.0
115,N. Süle,22,Germany,84,90,FC Bayern München,36500000.0,84000.0,2.0,3.0,2.0,3.0,CB,"Jul 1, 2017",2022,195.58,97.05215419501135,82.0,67500000.0,0.0,6,2,2,52.5,83.0,11.6,50.5,59.14285714285714,41.5,28.0,68.0,86.0
127,S. de Vrij,26,Netherlands,84,86,Inter,31500000.0,88000.0,3.0,4.0,2.0,2.0,CB,"Jul 1, 2018",2023,187.96,78.0045351473923,78.0,55900000.0,0.0,2,2,3,67.0,86.25,10.4,54.5,72.0,42.0,45.5,68.0,80.0
146,Sokratis,30,Greece,84,84,Arsenal,23000000.0,140000.0,3.0,2.0,2.0,2.0,CB,"Jul 2, 2018",2021,185.42,84.80725623582768,88.0,43700000.0,0.0,0,2,3,58.0,83.5,7.2,51.0,75.42857142857143,42.833333333333336,47.0,68.5,85.0
150,Raúl Albiol,32,Spain,84,84,Napoli,18000000.0,88000.0,3.0,3.0,2.0,1.0,CB,"Jul 21, 2013",2021,190.5,82.08616780045352,81.0,30600000.0,0.0,0,1,3,65.0,86.75,7.2,53.75,68.57142857142857,46.66666666666666,43.5,53.5,77.0
152,A. Barzagli,37,Italy,84,84,Juventus,4200000.0,95000.0,3.0,3.0,2.0,2.0,CB,"Jan 1, 2011",2019,187.96,87.07482993197279,66.0,6900000.0,0.0,0,1,3,64.5,89.0,3.2,51.25,71.57142857142857,42.5,45.0,69.0,72.0
158,Josué Chiamulera,26,Brazil,83,83,Grêmio,22500000.0,43000.0,1.0,3.0,2.0,2.0,CB,"Jan 1, 2018",2021,185.42,79.81859410430839,88.0,40500000.0,0.0,0,2,2,63.0,84.5,13.8,54.75,74.14285714285714,47.0,40.0,80.5,83.0
160,P. Kimpembe,22,France,83,89,Paris Saint-Germain,30500000.0,82000.0,2.0,3.0,3.0,2.0,CB,"Jul 1, 2015",2023,187.96,79.81859410430839,85.0,62500000.0,1.0,6,3,3,68.0,82.25,10.6,62.25,77.0,42.833333333333336,49.5,76.5,79.0
165,J. Tah,22,Germany,83,88,Bayer 04 Leverkusen,29500000.0,67000.0,2.0,4.0,2.0,3.0,CB,"Jul 16, 2015",2023,195.58,97.05215419501135,76.0,52400000.0,0.0,5,2,2,59.5,83.0,9.8,50.5,68.14285714285714,30.66666666666667,44.0,70.5,80.0
175,Felipe,29,Brazil,83,83,FC Porto,20000000.0,22000.0,3.0,3.0,2.0,2.0,CB,"Jul 1, 2016",2021,190.5,86.16780045351473,92.0,40000000.0,0.0,0,2,3,59.5,82.5,10.0,57.5,73.57142857142857,39.16666666666666,42.0,63.5,81.0
181,S. Savić,27,Montenegro,83,86,Atlético Madrid,26000000.0,67000.0,2.0,3.0,2.0,1.0,CB,"Jul 20, 2015",2020,187.96,78.91156462585032,83.0,55300000.0,0.0,3,2,3,57.5,84.25,13.2,50.75,69.85714285714286,34.5,35.0,58.0,85.0
182,J. Stones,24,England,83,87,Manchester City,28500000.0,125000.0,2.0,4.0,3.0,1.0,CB,"Aug 9, 2016",2022,187.96,69.84126984126982,79.0,54900000.0,0.0,4,3,2,74.5,83.25,10.2,61.0,73.28571428571429,38.833333333333336,57.5,69.0,83.0
188,Nacho Fernández,28,Spain,83,85,Real Madrid,24500000.0,180000.0,2.0,4.0,2.0,2.0,CB,"Aug 1, 2010",2021,180.34,76.19047619047619,78.0,52100000.0,0.0,2,2,3,66.5,81.75,10.2,62.25,74.0,41.833333333333336,45.0,74.5,82.0
191,F. Acerbi,30,Italy,83,83,Lazio,19000000.0,64000.0,2.0,3.0,3.0,2.0,CB,"Jul 11, 2018",2023,193.04,87.98185941043086,73.0,32300000.0,1.0,0,2,2,68.5,86.0,10.6,53.5,66.57142857142857,60.33333333333334,42.5,60.0,80.0
202,K. Glik,30,Poland,83,83,AS Monaco,19000000.0,86000.0,3.0,2.0,2.0,2.0,CB,"Jul 6, 2016",2021,190.5,79.81859410430839,86.0,36100000.0,0.0,0,1,2,55.0,83.0,9.4,42.0,68.57142857142857,34.0,23.5,51.0,85.0
207,Luiz Gustavo,30,Brazil,83,83,Olympique de Marseille,19000000.0,63000.0,3.0,3.0,3.0,1.0,CB,"Jul 4, 2017",2021,187.96,78.0045351473923,88.0,36100000.0,1.0,0,2,3,70.5,83.75,10.4,68.25,75.85714285714286,60.16666666666666,61.0,64.5,72.0
209,David Luiz,31,Brazil,83,83,Chelsea,17500000.0,130000.0,4.0,3.0,3.0,2.0,CB,"Aug 31, 2016",2019,187.96,86.16780045351473,85.0,32400000.0,0.0,0,2,2,72.5,82.25,10.8,71.25,71.42857142857143,71.33333333333333,61.5,60.5,81.0
226,M. de Ligt,18,Netherlands,82,91,Ajax,27000000.0,11000.0,2.0,4.0,2.0,2.0,CB,"Oct 24, 2016",2021,187.96,88.8888888888889,79.0,43200000.0,0.0,9,2,2,69.0,81.5,11.2,61.0,72.85714285714286,56.5,53.5,67.0,81.0
231,Juiano Mestres,34,Brazil,82,82,Cruzeiro,6500000.0,39000.0,1.0,3.0,2.0,2.0,CB,"Jan 1, 2018",2021,180.34,82.08616780045352,86.0,12400000.0,0.0,0,3,2,62.0,82.0,14.6,57.0,74.0,63.83333333333334,54.0,71.0,83.0
239,C. Lenglet,23,France,82,88,FC Barcelona,26000000.0,135000.0,1.0,4.0,2.0,1.0,CB,"Jul 12, 2018",2023,185.42,81.17913832199547,80.0,58500000.0,1.0,6,2,3,68.0,82.5,9.6,51.75,72.42857142857143,35.166666666666664,53.5,72.5,78.0
245,D. Rugani,23,Italy,82,86,Juventus,24500000.0,95000.0,2.0,3.0,2.0,1.0,CB,"Feb 4, 2015",2021,190.5,83.90022675736961,72.0,42300000.0,0.0,4,1,2,64.5,85.25,6.0,49.75,69.57142857142857,39.333333333333336,39.0,61.5,80.0
248,A. Romagnoli,23,Italy,82,89,Milan,26500000.0,84000.0,2.0,3.0,2.0,2.0,CB,"Aug 11, 2015",2022,187.96,78.0045351473923,84.0,50400000.0,1.0,7,2,3,67.0,84.75,10.4,50.75,71.57142857142857,39.0,35.5,66.0,76.0
257,A. Rüdiger,25,Germany,82,84,Chelsea,22500000.0,110000.0,2.0,3.0,2.0,1.0,CB,"Jul 9, 2017",2022,190.5,84.80725623582768,88.0,43300000.0,0.0,2,2,3,64.0,82.25,11.8,62.25,68.28571428571429,44.83333333333334,45.0,72.5,80.0
259,H. Maguire,25,England,82,85,Leicester City,23500000.0,77000.0,1.0,3.0,2.0,3.0,CB,"Jun 15, 2017",2023,193.04,99.77324263038548,84.0,46400000.0,0.0,3,3,3,73.0,81.0,12.4,58.5,71.28571428571429,47.33333333333334,60.0,46.0,87.0
261,S. Sané,27,Senegal,82,82,FC Schalke 04,18500000.0,41000.0,2.0,3.0,3.0,1.0,CB,"Jul 1, 2018",2022,195.58,84.80725623582768,84.0,31500000.0,0.0,0,2,3,67.0,82.25,12.0,56.75,65.42857142857143,50.66666666666666,55.0,62.0,88.0
264,Gabriel Paulista,27,Brazil,82,83,Valencia CF,21000000.0,44000.0,2.0,2.0,2.0,1.0,CB,"Aug 18, 2017",2022,187.96,78.91156462585032,82.0,45700000.0,0.0,1,1,3,64.5,82.5,11.6,64.5,74.85714285714286,51.16666666666666,58.0,72.5,81.0
273,Bartra,27,Spain,82,83,Real Betis,21000000.0,32000.0,3.0,3.0,3.0,1.0,CB,"Jan 30, 2018",2023,182.88,73.01587301587301,80.0,45700000.0,0.0,1,3,2,75.0,81.5,11.6,63.75,75.42857142857143,57.66666666666666,68.0,73.5,82.0
