,name,age,nationality,overall,potential,club,value,wage,international reputation,weak foot,skill moves,body type,position,joined,contract valid until,height,weight,aggression,release clause,preferred foot = left,improvement,attacking rate,defensive rate,control,defending,gk,passing,physical,shooting,skill,speed,heading
14,N. Kanté,27,France,89,90,Chelsea,63000000.0,225000.0,3.0,3.0,2.0,1.0,CDM,"Jul 16, 2016",2023,167.64,72.10884353741497,90.0,121300000.0,0.0,1,2,3,79.5,89.5,10.8,72.75,85.85714285714286,59.5,75.0,80.0,54.0
20,Sergio Busquets,29,Spain,89,89,FC Barcelona,51500000.0,315000.0,4.0,3.0,3.0,1.0,CDM,"Sep 1, 2008",2023,187.96,76.19047619047619,85.0,105600000.0,0.0,0,2,2,84.0,85.75,9.6,69.25,74.85714285714286,62.66666666666666,82.0,51.0,68.0
27,Casemiro,26,Brazil,88,90,Real Madrid,59500000.0,285000.0,3.0,3.0,2.0,2.0,CDM,"Jul 11, 2013",2021,185.42,83.90022675736961,87.0,126400000.0,0.0,2,2,3,73.5,88.0,13.4,68.0,80.0,70.5,73.0,62.0,76.0
45,P. Pogba,25,France,87,91,Manchester United,64000000.0,210000.0,4.0,4.0,5.0,2.0,CDM,"Aug 9, 2016",2021,193.04,83.90022675736961,78.0,123200000.0,0.0,4,3,1,88.5,67.5,4.0,85.25,80.85714285714286,81.83333333333333,84.0,75.0,73.0
72,M. Pjanić,28,Bosnia Herzegovina,86,86,Juventus,44000000.0,180000.0,3.0,4.0,3.0,2.0,CDM,"Jul 1, 2016",2023,177.8,72.10884353741497,70.0,72600000.0,0.0,0,2,2,87.5,74.25,8.4,81.5,75.85714285714286,79.5,79.0,66.0,60.0
75,Fernandinho,33,Brazil,86,86,Manchester City,18000000.0,185000.0,3.0,4.0,3.0,1.0,CDM,"Jul 1, 2013",2020,177.8,67.12018140589569,87.0,33300000.0,0.0,0,2,3,79.5,84.5,9.6,77.0,78.0,72.16666666666667,72.5,67.5,63.0
91,Paulinho,29,Brazil,85,85,Guangzhou Evergrande Taobao FC,37000000.0,235000.0,3.0,3.0,3.0,1.0,CDM,,"Jun 30, 2019",182.88,71.20181405895691,81.0,,0.0,0,3,3,83.0,77.5,11.4,75.75,80.28571428571429,75.5,81.0,73.0,85.0
118,Fabinho,24,Brazil,84,88,Liverpool,34000000.0,120000.0,3.0,2.0,3.0,1.0,CDM,"Jul 1, 2018",2023,187.96,78.0045351473923,85.0,67200000.0,0.0,4,2,2,79.0,84.25,9.4,71.75,78.42857142857143,70.66666666666667,72.5,70.5,75.0
119,Marquinhos,24,Brazil,84,89,Paris Saint-Germain,35500000.0,90000.0,3.0,3.0,2.0,1.0,CDM,"Jul 19, 2013",2022,182.88,74.82993197278911,80.0,68300000.0,0.0,5,2,2,67.5,85.75,9.4,65.5,76.0,38.833333333333336,48.5,74.5,80.0
120,William Carvalho,26,Portugal,84,86,Real Betis,31500000.0,38000.0,3.0,4.0,3.0,2.0,CDM,"Jul 13, 2018",2023,187.96,82.99319727891157,75.0,68500000.0,0.0,2,2,2,79.5,80.25,9.0,72.0,72.71428571428571,59.16666666666666,73.5,51.0,73.0
132,N. Matić,29,Serbia,84,84,Manchester United,24000000.0,165000.0,3.0,3.0,3.0,1.0,CDM,"Jul 31, 2017",2020,193.04,84.80725623582768,80.0,44400000.0,1.0,0,2,3,79.5,82.0,11.4,77.75,71.0,70.83333333333333,71.0,55.5,74.0
134,Illarramendi,28,Spain,84,84,Real Sociedad,31000000.0,51000.0,2.0,3.0,4.0,2.0,CDM,"Aug 26, 2015",2023,177.8,74.82993197278911,76.0,65099999.99999999,0.0,0,2,3,80.5,79.75,11.8,73.5,73.85714285714286,68.5,82.5,61.5,51.0
142,E. Banega,30,Argentina,84,84,Sevilla FC,29000000.0,31000.0,3.0,4.0,4.0,2.0,CDM,"Jul 3, 2017",2020,175.26,71.20181405895691,73.0,60900000.0,0.0,0,2,2,85.0,71.0,9.0,80.0,73.85714285714286,76.66666666666667,81.5,66.0,49.0
