,name,age,nationality,overall,potential,club,value,wage,international reputation,weak foot,skill moves,body type,position,joined,contract valid until,height,weight,aggression,release clause,preferred foot = left,improvement,attacking rate,defensive rate,control,defending,gk,passing,physical,shooting,skill,speed,heading
4,K. De Bruyne,27,Belgium,91,92,Manchester City,102000000.0,355000.0,4.0,5.0,4.0,2.0,CM,"Aug 30, 2015",2023,180.34,69.84126984126982,76.0,196400000.0,0.0,1,3,3,88.5,59.5,11.2,89.5,80.42857142857143,85.16666666666667,90.5,77.0,55.0
6,L. Modrić,32,Croatia,91,91,Real Madrid,67000000.0,420000.0,4.0,4.0,4.0,1.0,CM,"Aug 1, 2012",2020,172.72,66.21315192743764,62.0,137400000.0,0.0,0,3,3,91.5,73.0,10.4,85.75,82.28571428571429,79.66666666666667,85.5,76.0,55.0
11,T. Kroos,28,Germany,90,90,Real Madrid,76500000.0,355000.0,4.0,5.0,3.0,2.0,CM,"Jul 17, 2014",2022,182.88,76.19047619047619,60.0,156800000.0,0.0,0,2,2,85.5,75.5,10.2,88.75,70.42857142857143,83.0,82.5,63.0,54.0
13,David Silva,32,Spain,90,90,Manchester City,60000000.0,285000.0,4.0,2.0,4.0,2.0,CM,"Jul 14, 2010",2020,172.72,67.12018140589569,57.0,111000000.0,1.0,0,3,2,91.5,47.75,9.2,86.5,79.85714285714286,76.16666666666667,90.5,67.0,54.0
52,M. Hamšík,30,Slovakia,87,87,Napoli,46500000.0,125000.0,3.0,5.0,3.0,2.0,CM,"Jul 1, 2007",2020,182.88,78.91156462585032,56.0,79100000.0,0.0,0,3,2,86.5,70.5,9.2,82.0,76.57142857142857,77.66666666666667,87.0,68.5,74.0
53,I. Rakitić,30,Croatia,87,87,FC Barcelona,46500000.0,260000.0,4.0,3.0,3.0,2.0,CM,"Jul 1, 2014",2021,182.88,78.0045351473923,67.0,95300000.0,0.0,0,3,3,85.5,72.75,10.2,85.25,69.28571428571429,85.16666666666667,82.5,62.5,58.0
63,M. Verratti,25,Italy,86,89,Paris Saint-Germain,55000000.0,135000.0,3.0,4.0,4.0,2.0,CM,"Jul 18, 2012",2021,165.1,59.86394557823129,89.0,105900000.0,0.0,3,2,3,89.0,81.25,12.8,78.75,78.85714285714286,62.5,79.0,65.5,55.0
67,Thiago,27,Spain,86,86,FC Bayern München,45500000.0,130000.0,3.0,3.0,5.0,2.0,CM,"Jul 14, 2013",2021,175.26,69.84126984126982,57.0,75100000.0,0.0,0,2,2,90.0,68.25,9.2,84.75,79.14285714285714,76.66666666666667,82.5,73.5,54.0
78,S. Milinković-Savić,23,Serbia,85,90,Lazio,50500000.0,73000.0,2.0,4.0,4.0,2.0,CM,"Aug 6, 2015",2023,190.5,76.19047619047619,73.0,89600000.0,0.0,5,3,2,86.5,75.5,9.4,77.0,77.85714285714286,75.33333333333333,82.0,69.0,86.0
82,J. Kimmich,23,Germany,85,88,FC Bayern München,40500000.0,92000.0,3.0,4.0,3.0,1.0,CM,"Jul 1, 2015",2023,175.26,69.84126984126982,74.0,69900000.0,0.0,3,3,1,82.5,78.5,12.0,79.0,80.42857142857143,66.0,79.5,73.0,74.0
