,name,age,nationality,overall,potential,club,value,wage,international reputation,weak foot,skill moves,body type,position,joined,contract valid until,height,weight,aggression,release clause,preferred foot = left,improvement,attacking rate,defensive rate,control,defending,gk,passing,physical,shooting,skill,speed,heading
35,Marcelo,30,Brazil,88,88,Real Madrid,43000000.0,285000.0,4.0,4.0,5.0,2.0,LB,"Jan 1, 2007",2022,175.26,79.81859410430839,84.0,88200000.0,1.0,0,3,1,91.0,81.75,7.2,76.0,84.42857142857143,72.33333333333333,83.5,82.5,75.0
49,Jordi Alba,29,Spain,87,87,FC Barcelona,38000000.0,250000.0,3.0,3.0,3.0,2.0,LB,"Jul 1, 2012",2020,170.18,68.02721088435375,75.0,77900000.0,1.0,0,3,2,82.0,81.25,12.0,76.25,81.42857142857143,67.5,74.5,93.0,70.0
64,Alex Sandro,27,Brazil,86,86,Juventus,36500000.0,160000.0,3.0,3.0,3.0,2.0,LB,"Aug 21, 2015",2020,180.34,79.81859410430839,82.0,60200000.0,1.0,0,3,3,80.5,82.75,8.0,76.0,81.85714285714286,67.33333333333333,70.0,84.5,76.0
85,D. Alaba,26,Austria,85,87,FC Bayern München,38000000.0,110000.0,4.0,4.0,3.0,1.0,LB,"Feb 10, 2010",2021,180.34,76.19047619047619,69.0,65599999.99999999,1.0,2,3,2,81.0,81.5,10.0,77.75,79.85714285714286,78.33333333333333,76.5,82.5,75.0
106,Filipe Luís,32,Brazil,85,85,Atlético Madrid,21500000.0,81000.0,3.0,3.0,3.0,1.0,LB,"Jul 28, 2015",2019,182.88,73.92290249433107,81.0,44100000.0,1.0,0,3,2,80.0,83.0,9.8,74.75,77.71428571428571,67.33333333333333,70.5,75.5,72.0
112,Alex Telles,25,Brazil,84,87,FC Porto,32000000.0,22000.0,3.0,2.0,3.0,1.0,LB,"Jul 13, 2016",2021,180.34,71.20181405895691,78.0,66400000.00000001,1.0,3,3,2,82.0,80.0,11.6,81.25,78.14285714285714,75.66666666666667,75.0,84.5,74.0
200,Marcos Alonso,27,Spain,83,84,Chelsea,24000000.0,130000.0,2.0,3.0,3.0,1.0,LB,"Aug 31, 2016",2023,187.96,87.07482993197279,75.0,46200000.0,1.0,1,3,1,81.0,79.75,10.0,78.0,74.14285714285714,77.33333333333333,74.0,72.5,83.0
238,L. Hernández,22,France,82,88,Atlético Madrid,25500000.0,53000.0,1.0,3.0,3.0,2.0,LB,"Jul 1, 2015",2024,182.88,76.19047619047619,86.0,57400000.0,1.0,6,2,3,72.0,81.5,9.8,64.75,76.28571428571429,44.33333333333334,59.0,82.0,83.0
241,A. Robertson,24,Scotland,82,87,Liverpool,24500000.0,98000.0,1.0,2.0,3.0,1.0,LB,"Jul 21, 2017",2021,177.8,63.94557823129252,78.0,48400000.0,1.0,5,3,3,77.0,79.75,10.0,65.5,74.28571428571429,57.16666666666666,70.0,83.5,63.0
291,A. Kolarov,32,Serbia,82,82,Roma,12500000.0,73000.0,2.0,3.0,3.0,2.0,LB,"Jul 22, 2017",2020,187.96,82.99319727891157,85.0,21300000.0,1.0,0,3,2,77.5,81.25,12.2,77.25,76.28571428571429,79.0,76.0,71.5,80.0
342,Grimaldo,22,Spain,81,87,SL Benfica,20500000.0,14000.0,3.0,2.0,3.0,2.0,LB,"Jan 4, 2016",2021,170.18,68.93424036281178,68.0,45100000.0,1.0,6,3,2,82.5,77.5,10.0,74.5,76.71428571428571,69.66666666666667,67.5,84.0,65.0
348,B. Davies,25,Wales,81,84,Tottenham Hotspur,18500000.0,87000.0,2.0,3.0,3.0,1.0,LB,"Jul 23, 2014",2021,182.88,76.19047619047619,76.0,35600000.0,1.0,3,3,3,77.5,80.5,9.0,70.0,73.85714285714286,58.16666666666666,73.0,75.0,69.0
352,B. Mendy,23,France,81,86,Manchester City,20000000.0,105000.0,2.0,3.0,3.0,2.0,LB,"Jul 24, 2017",2022,185.42,84.80725623582768,75.0,38500000.0,1.0,5,3,1,79.5,79.25,9.4,66.75,75.71428571428571,56.83333333333334,76.5,81.5,65.0
358,F. Ghoulam,27,Algeria,81,82,Napoli,16500000.0,68000.0,2.0,4.0,3.0,2.0,LB,"Jan 31, 2014",2022,182.88,79.81859410430839,74.0,29300000.0,1.0,1,3,2,79.5,79.0,9.6,72.5,73.85714285714286,70.66666666666667,69.0,76.5,70.0
396,D. Rose,27,England,81,81,Tottenham Hotspur,14500000.0,92000.0,3.0,3.0,3.0,2.0,LB,"Jul 1, 2007",2021,175.26,76.19047619047619,87.0,26800000.0,1.0,0,2,3,78.5,81.25,11.0,72.0,75.28571428571429,61.66666666666666,70.5,78.5,62.0
419,Welington Dano,30,Brazil,80,80,Cruzeiro,10500000.0,34000.0,1.0,4.0,4.0,1.0,LB,"Jan 1, 2018",2021,177.8,68.93424036281178,69.0,20000000.0,1.0,0,2,2,77.5,76.25,12.0,69.5,79.14285714285714,59.16666666666666,73.5,79.0,69.0
428,M. Acuña,26,Argentina,80,80,Sporting CP,12500000.0,16000.0,2.0,3.0,4.0,3.0,LB,"Jul 21, 2017",2023,172.72,68.93424036281178,88.0,25000000.0,1.0,0,2,3,83.5,77.25,12.4,77.25,82.14285714285714,78.5,76.5,77.0,63.0
443,Gayà,23,Spain,80,85,Valencia CF,16500000.0,33000.0,2.0,3.0,3.0,1.0,LB,"Sep 13, 2012",2023,172.72,66.21315192743764,73.0,35900000.0,1.0,5,3,2,79.0,76.0,10.6,74.0,72.71428571428571,60.5,73.0,86.5,52.0
445,N. Tagliafico,25,Argentina,80,82,Ajax,15000000.0,20000.0,2.0,2.0,3.0,2.0,LB,"Jan 5, 2018",2022,170.18,64.85260770975057,78.0,22100000.0,1.0,2,3,2,74.0,77.75,12.6,63.75,78.57142857142857,52.33333333333334,67.5,85.5,73.0
454,L. Shaw,22,England,80,85,Manchester United,16500000.0,96000.0,2.0,2.0,3.0,3.0,LB,"Jun 27, 2014",2023,180.34,74.82993197278911,76.0,31800000.0,1.0,5,3,2,81.0,78.0,9.8,70.5,74.71428571428571,56.0,71.0,84.0,70.0
473,Ismaily,28,Brazil,80,80,Shakhtar Donetsk,11500000.0,1000.0,1.0,2.0,4.0,3.0,LB,"Feb 14, 2013",2023,177.8,82.08616780045352,63.0,24200000.0,1.0,0,3,3,82.0,76.25,10.2,70.75,76.57142857142857,62.33333333333334,76.5,82.0,59.0
474,N. Schulz,25,Germany,80,81,TSG 1899 Hoffenheim,14500000.0,37000.0,1.0,2.0,3.0,2.0,LB,"Jul 8, 2017",2020,180.34,78.0045351473923,72.0,25700000.0,1.0,1,3,2,78.5,75.25,11.6,70.0,73.85714285714286,51.66666666666666,70.0,87.0,54.0
475,L. Digne,24,France,80,84,Everton,16000000.0,79000.0,2.0,3.0,4.0,1.0,LB,"Aug 1, 2018",2023,177.8,73.92290249433107,75.0,31600000.0,1.0,4,3,2,79.0,78.25,9.2,69.25,74.42857142857143,65.5,70.5,75.5,68.0
490,R. Rodríguez,25,Switzerland,80,83,Milan,15500000.0,81000.0,3.0,3.0,4.0,2.0,LB,"Jul 1, 2017",2021,180.34,77.09750566893423,75.0,27500000.0,1.0,3,2,2,77.0,79.0,13.2,77.25,75.42857142857143,76.33333333333333,71.0,73.0,64.0
494,D. Blind,28,Netherlands,80,80,Ajax,12000000.0,22000.0,3.0,4.0,3.0,2.0,LB,"Jul 17, 2018",2022,180.34,72.10884353741497,72.0,16800000.0,1.0,0,2,2,76.5,79.75,11.0,77.25,77.28571428571429,63.0,71.0,57.5,72.0
514,F. Delph,28,England,80,80,Manchester City,11500000.0,120000.0,2.0,3.0,3.0,1.0,LB,"Jul 17, 2015",2020,175.26,78.0045351473923,84.0,21300000.0,1.0,0,3,3,79.5,79.25,10.0,72.75,78.42857142857143,68.5,72.5,73.5,60.0
519,Antunes,31,Portugal,80,80,Getafe CF,9500000.0,27000.0,2.0,3.0,3.0,2.0,LB,"Jul 2, 2018",2020,175.26,68.93424036281178,75.0,20000000.0,1.0,0,3,2,77.0,77.75,10.0,75.75,73.71428571428571,75.0,68.0,77.5,69.0
520,Nacho Monreal,32,Spain,80,80,Arsenal,8000000.0,99000.0,2.0,3.0,3.0,1.0,LB,"Jan 31, 2013",2019,177.8,72.10884353741497,77.0,15200000.0,1.0,0,3,2,75.0,81.25,5.8,68.0,73.42857142857143,62.83333333333334,66.0,69.5,72.0
581,Granell,29,Spain,79,79,Girona FC,12000000.0,37000.0,1.0,4.0,3.0,2.0,LB,"Jul 1, 2014",2021,175.26,69.84126984126982,73.0,25200000.0,1.0,0,2,2,78.0,67.25,12.0,72.75,69.71428571428571,75.33333333333333,76.0,62.5,55.0
601,Jonny,24,Spain,79,83,Wolverhampton Wanderers,13500000.0,43000.0,2.0,3.0,3.0,2.0,LB,,"Jun 30, 2019",170.18,69.84126984126982,82.0,,0.0,4,3,3,74.5,79.5,9.0,63.25,73.28571428571429,50.83333333333334,54.0,77.5,70.0
605,J. Hector,28,Germany,79,79,1. FC Köln,10000000.0,26000.0,3.0,3.0,3.0,2.0,LB,"Feb 25, 2012",2023,185.42,74.82993197278911,71.0,15000000.0,1.0,0,2,2,75.5,78.75,11.0,70.5,73.71428571428571,63.33333333333334,67.0,76.0,71.0
606,S. Kolašinac,25,Bosnia Herzegovina,79,82,Arsenal,13000000.0,89000.0,2.0,2.0,3.0,3.0,LB,"Jul 1, 2017",2022,182.88,84.80725623582768,93.0,25700000.0,1.0,3,2,3,73.5,76.75,11.2,63.5,71.14285714285714,51.83333333333334,63.0,71.5,74.0
615,Mário Rui,27,Portugal,79,80,Napoli,11500000.0,60000.0,2.0,3.0,3.0,1.0,LB,"Jan 6, 2018",2022,170.18,67.12018140589569,73.0,20400000.0,1.0,1,3,2,77.5,75.0,9.8,70.0,80.71428571428571,60.5,61.5,85.5,60.0
626,J. Roussillon,25,France,79,84,VfL Wolfsburg,14000000.0,44000.0,2.0,3.0,3.0,3.0,LB,"Aug 6, 2018",2022,175.26,79.81859410430839,75.0,24900000.0,1.0,5,3,2,77.0,76.5,10.4,69.25,76.28571428571429,64.0,71.0,86.0,69.0
631,L. Kurzawa,25,France,79,82,Paris Saint-Germain,13000000.0,68000.0,2.0,3.0,4.0,1.0,LB,"Aug 27, 2015",2020,182.88,76.19047619047619,75.0,25000000.0,1.0,3,3,1,78.0,76.0,11.0,73.0,76.57142857142857,64.83333333333333,75.5,76.5,75.0
658,Jaume Costa,30,Spain,79,79,Villarreal CF,9000000.0,34000.0,1.0,3.0,3.0,2.0,LB,"Jul 1, 2010",2021,170.18,62.13151927437642,85.0,18900000.0,1.0,0,3,3,73.5,78.25,12.2,65.5,72.28571428571429,62.0,61.5,80.0,68.0
679,K. Asamoah,29,Ghana,79,79,Inter,9500000.0,62000.0,2.0,3.0,4.0,3.0,LB,"Jul 2, 2018",2021,172.72,74.82993197278911,82.0,16200000.0,1.0,0,3,3,81.5,79.0,4.2,78.5,78.71428571428571,70.16666666666667,77.0,77.0,68.0
706,R. Bertrand,28,England,79,79,Southampton,10000000.0,53000.0,2.0,3.0,3.0,2.0,LB,"Feb 2, 2015",2021,177.8,84.80725623582768,73.0,19000000.0,1.0,0,3,2,77.5,78.5,12.8,67.75,73.14285714285714,59.16666666666666,57.0,77.0,68.0
717,A. Young,32,England,79,79,Manchester United,7000000.0,110000.0,2.0,3.0,4.0,1.0,LB,"Jul 1, 2011",2019,175.26,64.85260770975057,78.0,13000000.0,0.0,0,3,2,78.0,75.5,14.4,76.0,72.0,71.5,71.5,74.5,57.0
730,A. Hakimi,19,Morocco,78,86,Borussia Dortmund,12500000.0,49000.0,1.0,2.0,3.0,2.0,LB,,"Jun 30, 2020",180.34,73.01587301587301,67.0,,0.0,8,3,2,78.0,73.25,9.2,67.25,75.0,60.33333333333334,67.0,90.0,64.0
740,Ronaldo Esler,30,Brazil,78,78,Atlético Mineiro,7500000.0,34000.0,1.0,3.0,4.0,1.0,LB,"Jan 1, 2018",2021,167.64,64.85260770975057,73.0,14300000.0,1.0,0,3,2,75.0,75.75,11.8,67.0,71.42857142857143,57.16666666666666,68.5,87.0,60.0
742,B. Chilwell,21,England,78,85,Leicester City,12500000.0,43000.0,1.0,3.0,3.0,2.0,LB,"Aug 26, 2015",2024,177.8,77.09750566893423,68.0,26300000.0,1.0,7,3,3,76.5,75.75,9.6,64.75,73.28571428571429,55.5,70.0,81.5,64.0
745,F. Mendy,23,France,78,86,Olympique Lyonnais,13000000.0,47000.0,1.0,5.0,4.0,2.0,LB,"Jul 1, 2017",2023,177.8,73.01587301587301,77.0,27300000.0,1.0,8,3,2,79.5,73.75,10.2,67.0,78.28571428571429,58.33333333333334,74.0,87.0,69.0
787,J. Mojica,25,Colombia,78,81,Girona FC,10500000.0,28000.0,1.0,2.0,3.0,1.0,LB,"Jul 2, 2018",2022,185.42,73.01587301587301,75.0,22800000.0,1.0,3,3,2,78.5,74.0,11.8,67.5,69.57142857142857,68.66666666666667,67.0,89.5,55.0
790,D. Laxalt,25,Uruguay,78,80,Milan,12500000.0,76000.0,2.0,3.0,4.0,1.0,LB,"Aug 17, 2018",2022,177.8,68.02721088435375,72.0,22200000.0,1.0,2,3,3,77.5,65.0,9.8,69.75,75.42857142857143,61.66666666666666,68.0,88.0,43.0
