,name,age,nationality,overall,potential,club,value,wage,international reputation,weak foot,skill moves,body type,position,joined,contract valid until,height,weight,aggression,release clause,preferred foot = left,improvement,attacking rate,defensive rate,control,defending,gk,passing,physical,shooting,skill,speed,heading
33,P. Aubameyang,29,Gabon,88,88,Arsenal,59000000.0,265000.0,3.0,4.0,4.0,1.0,LM,"Jan 31, 2018",2021,187.96,79.81859410430839,43.0,112100000.0,0.0,0,2,1,80.5,34.0,9.6,76.0,78.57142857142857,79.83333333333333,83.5,94.0,79.0
58,S. Mané,26,Senegal,86,87,Liverpool,52000000.0,195000.0,3.0,4.0,4.0,1.0,LM,"Jul 1, 2016",2023,175.26,68.93424036281178,73.0,102700000.0,0.0,1,3,2,86.5,39.25,11.2,73.5,81.28571428571429,74.83333333333333,84.5,94.0,62.0
65,Douglas Costa,27,Brazil,86,86,Juventus,46500000.0,175000.0,3.0,3.0,5.0,2.0,LM,"Jul 1, 2018",2022,172.72,69.84126984126982,55.0,76700000.0,1.0,0,3,2,91.5,41.25,10.8,78.0,79.14285714285714,78.66666666666667,80.0,95.0,50.0
68,M. Reus,29,Germany,86,86,Borussia Dortmund,43500000.0,100000.0,4.0,4.0,4.0,1.0,LM,"Jul 1, 2012",2023,180.34,71.20181405895691,49.0,74000000.0,0.0,0,3,2,86.5,44.5,12.2,82.5,78.28571428571429,87.16666666666669,87.0,85.5,49.0
86,Koke,26,Spain,85,86,Atlético Madrid,45000000.0,88000.0,3.0,4.0,3.0,2.0,LM,"Jan 1, 2011",2019,175.26,73.92290249433107,71.0,95600000.0,0.0,1,3,3,84.0,66.5,10.8,80.25,77.85714285714286,76.16666666666667,85.5,69.5,61.0
94,Y. Brahimi,28,Algeria,85,85,FC Porto,39000000.0,28000.0,3.0,3.0,4.0,2.0,LM,"Jul 22, 2014",2019,175.26,66.21315192743764,46.0,78000000.0,0.0,0,3,2,89.5,37.5,11.0,75.75,79.85714285714286,76.33333333333333,81.0,81.0,46.0
97,I. Perišić,29,Croatia,85,85,Inter,37500000.0,110000.0,3.0,5.0,4.0,1.0,LM,"Sep 1, 2015",2022,185.42,79.81859410430839,65.0,63800000.0,0.0,0,2,2,84.5,59.75,7.6,80.5,80.57142857142857,77.66666666666667,82.0,86.0,80.0
103,B. Matuidi,31,France,85,85,Juventus,26000000.0,145000.0,3.0,2.0,2.0,1.0,LM,"Aug 18, 2017",2020,180.34,74.82993197278911,86.0,42900000.0,1.0,0,3,3,78.5,85.25,9.6,76.75,83.14285714285714,64.16666666666667,74.0,78.0,68.0
125,H. Son,25,Korea Republic,84,85,Tottenham Hotspur,37000000.0,125000.0,3.0,5.0,4.0,1.0,LM,"Aug 28, 2015",2023,182.88,64.85260770975057,60.0,71200000.0,0.0,1,3,3,86.5,38.5,10.6,75.0,76.42857142857143,80.16666666666667,82.5,87.5,65.0
163,T. Lemar,22,France,83,89,Atlético Madrid,35500000.0,64000.0,3.0,2.0,4.0,1.0,LM,"Jul 1, 2018",2023,170.18,62.13151927437642,63.0,79900000.0,1.0,6,3,2,85.5,60.75,12.0,80.0,78.0,77.33333333333333,81.0,85.0,54.0
164,K. Coman,22,France,83,87,FC Bayern München,34000000.0,85000.0,2.0,3.0,5.0,1.0,LM,"Aug 30, 2015",2023,177.8,71.20181405895691,36.0,58700000.0,0.0,4,2,1,85.5,21.0,4.2,74.5,77.0,75.0,77.0,94.0,52.0
173,Y. Carrasco,24,Belgium,83,86,Dalian YiFang FC,33000000.0,20000.0,3.0,4.0,4.0,1.0,LM,"Feb 26, 2018",2021,180.34,73.01587301587301,61.0,73400000.0,0.0,3,3,2,87.5,35.25,9.8,73.5,74.0,78.5,76.0,88.0,53.0
185,Felipe Anderson,25,Brazil,83,85,West Ham United,31500000.0,110000.0,3.0,4.0,4.0,2.0,LM,"Jul 15, 2018",2022,175.26,69.84126984126982,67.0,62200000.0,0.0,2,3,2,89.0,57.5,8.6,75.25,70.85714285714286,71.83333333333333,76.0,91.0,44.0
221,F. Ribéry,35,France,83,83,FC Bayern München,11500000.0,72000.0,4.0,4.0,5.0,2.0,LM,"Jul 1, 2007",2019,170.18,72.10884353741497,51.0,19000000.0,0.0,0,2,2,85.5,28.75,9.4,79.0,70.57142857142857,77.0,80.5,78.0,41.0
234,Gonçalo Guedes,21,Portugal,82,86,Valencia CF,29000000.0,36000.0,1.0,3.0,4.0,2.0,LM,"Aug 29, 2018",2024,177.8,68.02721088435375,67.0,63100000.0,0.0,4,3,1,83.5,34.5,10.0,73.0,75.85714285714286,74.66666666666667,77.0,89.5,60.0
244,J. Brandt,22,Germany,82,88,Bayer 04 Leverkusen,30500000.0,68000.0,2.0,4.0,4.0,1.0,LM,"Jan 1, 2014",2021,185.42,83.90022675736961,42.0,58000000.0,0.0,6,2,2,86.0,27.75,11.0,73.5,73.42857142857143,70.16666666666667,80.5,81.0,42.0
253,E. Forsberg,26,Sweden,82,83,RB Leipzig,26000000.0,67000.0,2.0,4.0,4.0,2.0,LM,"Jan 7, 2015",2022,177.8,73.92290249433107,62.0,46200000.0,0.0,1,2,2,84.5,30.25,11.0,76.25,73.0,73.5,79.0,73.0,45.0
286,Taison,30,Brazil,82,82,Shakhtar Donetsk,21000000.0,1000.0,2.0,3.0,4.0,1.0,LM,"Jan 11, 2013",2021,172.72,63.94557823129252,56.0,44100000.0,0.0,0,2,2,86.0,45.0,10.6,76.75,75.57142857142857,73.16666666666667,76.5,92.0,56.0
321,L. Bailey,20,Jamaica,81,89,Bayer 04 Leverkusen,26500000.0,54000.0,1.0,4.0,4.0,2.0,LM,"Jan 31, 2017",2023,177.8,78.91156462585032,58.0,50400000.0,1.0,8,3,2,84.0,27.75,12.0,73.25,78.0,75.33333333333333,78.5,92.0,57.0
326,Fabián,22,Spain,81,89,Napoli,26000000.0,64000.0,1.0,4.0,4.0,1.0,LM,"Jul 5, 2018",2023,187.96,69.84126984126982,66.0,49400000.0,1.0,8,2,2,82.0,75.0,12.0,74.25,69.0,72.66666666666667,81.0,68.0,67.0
343,R. Guerreiro,24,Portugal,81,86,Borussia Dortmund,24000000.0,54000.0,3.0,3.0,4.0,2.0,LM,"Jul 1, 2016",2020,170.18,71.20181405895691,69.0,42600000.0,1.0,5,2,2,83.5,74.5,9.0,80.5,73.71428571428571,74.33333333333333,78.0,75.0,52.0
351,M. Sabitzer,24,Austria,81,84,RB Leipzig,22500000.0,54000.0,2.0,4.0,3.0,2.0,LM,"Jul 1, 2014",2022,177.8,77.09750566893423,70.0,39900000.0,0.0,3,3,3,80.0,54.75,13.2,73.5,78.42857142857143,74.66666666666667,80.0,80.0,56.0
363,Vitolo,28,Spain,81,81,Atlético Madrid,18000000.0,65000.0,2.0,4.0,3.0,2.0,LM,"Jul 12, 2017",2022,185.42,78.91156462585032,61.0,36900000.0,0.0,0,3,3,83.5,34.25,13.0,78.0,74.0,73.16666666666667,79.0,77.5,65.0
376,S. El Shaarawy,25,Italy,81,82,Roma,21000000.0,77000.0,3.0,3.0,5.0,1.0,LM,"Jan 26, 2016",2020,177.8,72.10884353741497,54.0,37300000.0,0.0,1,3,2,85.0,37.5,4.2,71.0,70.28571428571429,73.16666666666667,75.5,86.5,51.0
389,M. Valbuena,33,France,81,81,Fenerbahçe SK,11000000.0,86000.0,3.0,3.0,3.0,2.0,LM,"Jun 17, 2017",2019,167.64,63.03854875283447,52.0,20900000.0,0.0,0,3,2,82.5,33.0,9.6,79.25,69.85714285714286,75.83333333333333,76.5,80.0,48.0
