,name,age,nationality,overall,potential,club,value,wage,international reputation,weak foot,skill moves,body type,position,joined,contract valid until,height,weight,aggression,release clause,preferred foot = left,improvement,attacking rate,defensive rate,control,defending,gk,passing,physical,shooting,skill,speed,heading
2,Neymar Jr,26,Brazil,92,93,Paris Saint-Germain,118500000.0,290000.0,5.0,5.0,5.0,1.0,LW,"Aug 3, 2017",2022,175.26,68.02721088435375,56.0,228100000.0,0.0,1,3,2,95.5,30.0,11.8,81.25,79.85714285714286,84.16666666666667,88.0,92.0,62.0
5,E. Hazard,27,Belgium,91,91,Chelsea,93000000.0,340000.0,4.0,4.0,4.0,2.0,LW,"Jul 1, 2012",2020,172.72,73.92290249433107,54.0,172100000.0,0.0,0,3,2,94.5,31.0,9.0,83.25,82.14285714285714,82.33333333333333,88.0,91.0,61.0
15,P. Dybala,24,Argentina,89,94,Juventus,89000000.0,205000.0,3.0,3.0,4.0,2.0,LW,"Jul 1, 2015",2022,177.8,74.82993197278911,48.0,153500000.0,1.0,5,3,2,92.0,23.75,5.2,83.0,80.85714285714286,86.0,85.5,85.0,68.0
29,L. Insigne,27,Italy,88,88,Napoli,62000000.0,165000.0,3.0,3.0,4.0,2.0,LW,"Jul 1, 2010",2022,162.56,58.956916099773245,34.0,105400000.0,0.0,0,3,2,91.5,30.75,9.0,80.75,75.0,76.83333333333333,85.0,90.0,56.0
30,Isco,26,Spain,88,91,Real Madrid,73500000.0,315000.0,3.0,3.0,4.0,2.0,LW,"Jul 3, 2013",2022,175.26,78.91156462585032,58.0,156200000.0,0.0,3,3,2,94.5,59.75,10.2,78.0,76.14285714285714,79.16666666666667,83.5,72.0,55.0
32,Coutinho,26,Brazil,88,89,FC Barcelona,69500000.0,340000.0,3.0,4.0,5.0,2.0,LW,"Jan 6, 2018",2023,172.72,68.02721088435375,59.0,147700000.0,0.0,1,3,3,91.5,51.25,9.6,81.25,78.85714285714286,83.66666666666667,87.0,82.0,48.0
55,L. Sané,22,Germany,86,92,Manchester City,61000000.0,195000.0,2.0,3.0,4.0,1.0,LW,"Aug 2, 2016",2021,182.88,74.82993197278911,61.0,125100000.0,1.0,6,3,2,86.5,34.25,10.4,77.75,77.28571428571429,77.66666666666667,83.0,94.5,72.0
76,Iniesta,34,Spain,86,86,Vissel Kobe,21500000.0,21000.0,4.0,4.0,4.0,2.0,LW,"Jul 16, 2018",2021,170.18,68.02721088435375,58.0,26900000.0,0.0,0,3,2,91.0,61.5,9.0,81.5,71.14285714285714,71.16666666666667,87.0,68.5,54.0
116,A. Martial,22,France,84,90,Manchester United,42500000.0,165000.0,3.0,3.0,4.0,2.0,LW,"Sep 1, 2015",2019,182.88,76.19047619047619,58.0,87100000.0,0.0,6,2,2,86.5,38.75,10.2,71.75,78.57142857142857,77.83333333333333,78.0,88.5,69.0
272,Jonathan Viera,28,Spain,82,82,Beijing Sinobo Guoan FC,22500000.0,31000.0,2.0,4.0,4.0,2.0,LW,"Feb 19, 2018",2020,170.18,63.94557823129252,56.0,49500000.0,0.0,0,3,1,83.0,63.0,12.8,75.5,82.28571428571429,76.16666666666667,78.0,81.0,41.0
319,M. Rashford,20,England,81,89,Manchester United,27000000.0,110000.0,2.0,4.0,4.0,1.0,LW,"Jul 1, 2014",2020,185.42,69.84126984126982,70.0,55400000.0,0.0,8,3,2,81.5,36.75,10.6,71.75,76.42857142857143,78.5,77.5,91.5,71.0
334,Williams,24,Spain,81,87,Athletic Club de Bilbao,24500000.0,31000.0,2.0,3.0,4.0,1.0,LW,"Aug 1, 2012",2025,185.42,78.91156462585032,66.0,56400000.0,0.0,6,3,3,81.5,35.5,13.2,72.75,75.71428571428571,67.66666666666667,75.5,93.0,70.0
347,A. Plea,25,France,81,83,Borussia Mönchengladbach,22000000.0,40000.0,2.0,3.0,4.0,3.0,LW,"Jul 13, 2018",2023,180.34,78.91156462585032,63.0,39100000.0,0.0,2,3,2,78.5,34.5,13.8,75.75,78.28571428571429,77.16666666666667,80.5,77.5,73.0
384,D. Perotti,29,Argentina,81,81,Roma,17500000.0,84000.0,3.0,4.0,4.0,1.0,LW,"Jan 1, 2016",2021,177.8,69.84126984126982,51.0,29800000.0,0.0,0,2,2,88.0,36.75,8.2,72.25,74.14285714285714,72.66666666666667,81.0,81.0,57.0
524,I. Piatti,33,Argentina,80,80,Montreal Impact,9000000.0,13000.0,2.0,4.0,5.0,1.0,LW,"Aug 15, 2014",2020,180.34,76.19047619047619,79.0,13500000.0,0.0,0,3,2,85.0,50.5,11.2,74.5,75.0,76.5,80.0,76.5,54.0
575,S. Bergwijn,20,Netherlands,79,86,PSV,18000000.0,17000.0,1.0,2.0,4.0,3.0,LW,"Jul 1, 2014",2022,177.8,78.0045351473923,44.0,28800000.0,0.0,7,2,2,85.0,30.75,12.8,66.75,76.28571428571429,71.0,73.5,87.5,55.0
582,F. Cervi,24,Argentina,79,84,SL Benfica,17000000.0,15000.0,2.0,3.0,5.0,2.0,LW,"Jan 4, 2016",2023,165.1,62.13151927437642,71.0,35300000.0,1.0,5,3,3,84.5,51.0,10.0,68.25,75.0,67.83333333333333,73.5,91.5,48.0
599,Bruma,23,Portugal,79,83,RB Leipzig,16500000.0,48000.0,2.0,4.0,4.0,1.0,LW,"Jul 1, 2017",2022,172.72,69.84126984126982,64.0,29300000.0,0.0,4,3,2,85.0,29.75,10.4,66.75,76.28571428571429,73.83333333333333,72.0,91.5,53.0
637,Y. Konoplyanka,28,Ukraine,79,79,FC Schalke 04,12500000.0,41000.0,2.0,3.0,4.0,2.0,LW,"Aug 30, 2016",2020,177.8,78.0045351473923,52.0,21300000.0,0.0,0,2,2,81.5,29.75,9.8,73.25,72.14285714285714,77.83333333333333,75.0,84.0,43.0
731,S. Nakajima,23,Japan,78,84,Portimonense SC,14000000.0,12000.0,1.0,4.0,4.0,2.0,LW,"Jan 6, 2018",2020,165.1,63.94557823129252,55.0,32200000.000000004,0.0,6,3,3,80.5,37.0,8.2,71.25,77.0,71.5,75.0,92.0,40.0
756,Diogo Jota,21,Portugal,78,86,Wolverhampton Wanderers,15500000.0,56000.0,2.0,4.0,4.0,1.0,LW,"Jul 1, 2018",2021,177.8,73.01587301587301,80.0,32600000.0,0.0,8,3,3,82.0,49.0,10.8,68.25,79.57142857142857,69.66666666666667,76.5,81.5,56.0
796,P. Sisto,23,Denmark,78,84,RC Celta,14000000.0,25000.0,1.0,4.0,4.0,1.0,LW,"Jul 31, 2016",2021,172.72,68.93424036281178,52.0,32200000.000000004,0.0,6,3,2,83.0,47.25,10.4,69.5,77.0,74.16666666666667,74.0,81.0,51.0
856,M. Gradel,30,Ivory Coast,78,78,Toulouse Football Club,10000000.0,32000.0,2.0,3.0,4.0,1.0,LW,"Jul 1, 2018",2021,177.8,69.84126984126982,59.0,20000000.0,0.0,0,3,3,81.5,39.25,10.6,70.0,71.71428571428571,74.16666666666667,75.0,84.5,66.0
911,Sergio García,35,Spain,77,77,RCD Espanyol,4100000.0,23000.0,2.0,2.0,4.0,2.0,LW,"Jul 1, 2017",2019,175.26,72.10884353741497,61.0,8600000.0,0.0,0,2,2,80.0,31.75,11.2,74.25,68.14285714285714,75.16666666666667,79.0,68.5,70.0
933,D. Welbeck,27,England,77,77,Arsenal,9500000.0,95000.0,3.0,3.0,3.0,2.0,LW,"Sep 2, 2014",2019,185.42,73.01587301587301,75.0,18100000.0,0.0,0,3,3,78.0,37.5,10.6,71.0,74.42857142857143,69.16666666666667,75.0,79.5,78.0
979,E. Giaccherini,33,Italy,77,77,Chievo Verona,5500000.0,20000.0,2.0,3.0,4.0,2.0,LW,"Jul 1, 2018",2021,167.64,59.86394557823129,66.0,9400000.0,0.0,0,3,2,80.5,62.5,12.0,75.0,72.57142857142857,71.83333333333333,78.0,73.5,58.0
