,name,age,nationality,overall,potential,club,value,wage,international reputation,weak foot,skill moves,body type,position,joined,contract valid until,height,weight,aggression,release clause,preferred foot = left,improvement,attacking rate,defensive rate,control,defending,gk,passing,physical,shooting,skill,speed,heading
1,Cristiano Ronaldo,33,Portugal,94,94,Juventus,77000000.0,405000.0,5.0,4.0,5.0,2.0,ST,"Jul 10, 2018",2022,187.96,82.99319727891157,63.0,127100000.0,0.0,0,3,1,91.0,27.75,11.6,82.25,87.14285714285714,87.33333333333331,88.5,90.0,89.0
7,L. Suárez,31,Uruguay,91,91,FC Barcelona,80000000.0,455000.0,5.0,4.0,3.0,2.0,ST,"Jul 11, 2014",2021,182.88,86.16780045351473,87.0,164000000.0,0.0,0,3,2,88.5,46.5,30.6,77.75,83.42857142857143,86.5,88.0,80.5,77.0
10,R. Lewandowski,29,Poland,90,90,FC Bayern München,77000000.0,205000.0,4.0,4.0,4.0,2.0,ST,"Jul 1, 2014",2021,182.88,79.81859410430839,80.0,127100000.0,0.0,0,3,2,87.0,33.5,10.2,74.75,82.57142857142857,85.66666666666667,84.0,77.5,85.0
16,H. Kane,24,England,89,91,Tottenham Hotspur,83500000.0,205000.0,3.0,4.0,3.0,2.0,ST,"Jul 1, 2010",2024,187.96,88.8888888888889,76.0,160700000.0,0.0,2,3,3,82.0,41.25,10.8,80.25,81.85714285714286,83.83333333333333,86.5,70.0,85.0
21,E. Cavani,31,Uruguay,89,89,Paris Saint-Germain,60000000.0,200000.0,4.0,4.0,3.0,1.0,ST,"Jul 16, 2013",2020,185.42,77.09750566893423,84.0,111000000.0,0.0,0,3,3,81.0,46.0,10.6,72.5,81.0,82.16666666666667,85.0,75.5,89.0
23,S. Agüero,30,Argentina,89,89,Manchester City,64500000.0,300000.0,4.0,4.0,4.0,3.0,ST,"Jul 28, 2011",2021,172.72,69.84126984126982,65.0,119300000.0,0.0,0,3,2,89.0,21.5,11.8,75.0,83.85714285714286,83.66666666666667,87.5,84.0,77.0
36,G. Bale,28,Wales,88,88,Real Madrid,60000000.0,355000.0,4.0,3.0,4.0,1.0,ST,"Sep 2, 2013",2022,185.42,82.08616780045352,65.0,123000000.0,1.0,0,3,2,86.0,55.0,10.4,84.25,80.0,87.0,82.0,94.5,84.0
38,G. Higuaín,30,Argentina,88,88,Milan,57000000.0,245000.0,4.0,4.0,3.0,2.0,ST,,"Jun 30, 2019",185.42,88.8888888888889,50.0,,0.0,0,3,2,84.5,23.75,7.8,73.0,78.57142857142857,77.33333333333333,83.0,73.0,80.0
43,M. Icardi,25,Argentina,87,90,Inter,64500000.0,130000.0,3.0,4.0,3.0,2.0,ST,"Jul 9, 2013",2021,180.34,74.82993197278911,56.0,114500000.0,0.0,3,2,1,79.0,27.75,8.6,64.5,81.0,71.66666666666667,78.0,77.5,91.0
47,R. Lukaku,25,Belgium,87,89,Manchester United,62500000.0,230000.0,3.0,3.0,3.0,3.0,ST,"Jul 10, 2017",2022,190.5,93.87755102040815,75.0,120300000.0,1.0,2,2,2,76.0,29.25,10.8,76.75,74.85714285714286,77.83333333333333,82.5,83.5,86.0
48,C. Immobile,28,Italy,87,87,Lazio,52000000.0,115000.0,3.0,4.0,3.0,2.0,ST,"Jul 27, 2016",2023,185.42,84.80725623582768,77.0,88400000.0,0.0,0,3,2,83.0,34.75,9.4,66.25,77.28571428571429,75.83333333333333,78.0,81.5,81.0
87,A. Lacazette,27,France,85,86,Arsenal,45000000.0,180000.0,3.0,4.0,4.0,2.0,ST,"Jul 5, 2017",2022,175.26,73.01587301587301,70.0,88900000.0,0.0,1,3,3,84.0,35.75,7.4,71.0,81.14285714285714,79.16666666666667,81.0,82.5,73.0
98,E. Džeko,32,Bosnia Herzegovina,85,85,Roma,30500000.0,115000.0,3.0,5.0,2.0,1.0,ST,"Jul 1, 2015",2020,193.04,83.90022675736961,51.0,51900000.0,0.0,0,2,2,80.0,38.0,12.6,72.25,68.71428571428571,73.33333333333333,81.5,65.5,84.0
100,Diego Costa,29,Spain,85,85,Atlético Madrid,38500000.0,100000.0,4.0,4.0,2.0,2.0,ST,"Jan 1, 2018",2021,187.96,86.16780045351473,93.0,78900000.0,0.0,0,3,2,80.0,42.75,11.0,65.75,73.0,73.33333333333333,80.5,75.0,82.0
105,K. Benzema,30,France,85,85,Real Madrid,37000000.0,240000.0,4.0,4.0,4.0,2.0,ST,"Jul 9, 2009",2021,185.42,81.17913832199547,65.0,75900000.0,0.0,0,2,1,84.5,24.0,8.2,75.5,76.0,78.5,85.5,76.0,80.0
109,Z. Ibrahimović,36,Sweden,85,85,LA Galaxy,14000000.0,15000.0,5.0,4.0,5.0,2.0,ST,"Mar 23, 2018",2022,195.58,94.78458049886619,84.0,21000000.0,0.0,0,2,1,81.5,27.25,11.8,77.75,71.57142857142857,85.16666666666667,82.0,58.5,83.0
124,M. Depay,24,Netherlands,84,89,Olympique Lyonnais,42000000.0,93000.0,3.0,3.0,5.0,3.0,ST,"Jan 20, 2017",2021,175.26,78.0045351473923,76.0,83000000.0,0.0,5,3,1,85.0,27.0,10.0,76.75,78.85714285714286,82.5,82.5,87.0,65.0
130,Iago Aspas,30,Spain,84,84,RC Celta,30000000.0,45000.0,2.0,3.0,3.0,1.0,ST,"Jul 1, 2015",2022,175.26,67.12018140589569,63.0,63000000.0,1.0,0,3,3,85.5,29.25,12.4,76.5,76.28571428571429,81.16666666666667,80.5,81.5,78.0
139,M. Mandžukić,32,Croatia,84,84,Juventus,25000000.0,160000.0,3.0,3.0,3.0,1.0,ST,"Jul 1, 2015",2020,190.5,84.80725623582768,88.0,41300000.0,0.0,0,3,3,76.5,63.25,9.2,75.0,77.0,68.83333333333333,82.0,70.0,90.0
145,Jonas,34,Brazil,84,84,SL Benfica,16500000.0,25000.0,3.0,5.0,3.0,1.0,ST,"Sep 12, 2014",2020,180.34,73.92290249433107,61.0,33000000.0,0.0,0,3,2,86.0,31.5,8.6,76.5,73.71428571428571,83.83333333333333,85.0,64.5,84.0
148,Falcao,32,Colombia,84,84,AS Monaco,25000000.0,115000.0,3.0,4.0,3.0,2.0,ST,"Jul 1, 2013",2020,177.8,72.10884353741497,75.0,47500000.0,0.0,0,3,2,78.5,35.25,8.6,69.0,79.57142857142857,80.33333333333333,79.0,67.5,89.0
151,A. Gómez,30,Argentina,84,84,Atalanta,30000000.0,53000.0,3.0,4.0,4.0,2.0,ST,"Sep 2, 2014",2022,165.1,68.02721088435375,56.0,51000000.0,0.0,0,3,2,88.0,38.5,9.2,77.5,78.0,76.83333333333333,83.0,90.0,38.0
156,Gabriel Jesus,21,Brazil,83,92,Manchester City,41000000.0,130000.0,2.0,3.0,4.0,2.0,ST,"Aug 3, 2016",2023,175.26,73.01587301587301,73.0,84100000.0,0.0,9,3,3,85.5,31.75,9.6,70.0,82.85714285714286,73.83333333333333,82.5,86.0,74.0
159,Louri Beretta,26,Brazil,83,83,Atlético Mineiro,28500000.0,60000.0,1.0,3.0,4.0,2.0,ST,"Jan 1, 2018",2021,187.96,82.99319727891157,65.0,54200000.0,0.0,0,3,1,74.5,27.25,15.6,64.5,71.42857142857143,75.83333333333333,70.5,81.0,83.0
174,Gerard Moreno,26,Spain,83,85,Villarreal CF,32000000.0,53000.0,1.0,4.0,4.0,1.0,ST,"Jul 2, 2018",2023,180.34,77.09750566893423,55.0,69600000.0,1.0,2,3,2,79.5,41.25,11.2,68.5,73.0,73.5,70.5,78.5,80.0
179,S. Gnabry,22,Germany,83,88,FC Bayern München,34500000.0,85000.0,2.0,4.0,4.0,2.0,ST,"Jul 1, 2017",2020,175.26,74.82993197278911,63.0,59500000.0,0.0,5,3,2,85.0,44.0,10.0,76.0,75.57142857142857,73.5,77.0,91.0,46.0
193,Rodrigo,27,Spain,83,84,Valencia CF,30500000.0,57000.0,2.0,3.0,4.0,1.0,ST,"Dec 3, 2014",2022,182.88,77.09750566893423,60.0,66300000.0,1.0,1,3,2,82.0,39.0,9.2,71.25,78.0,77.33333333333333,78.5,89.5,80.0
204,B. Dost,29,Netherlands,83,83,Sporting CP,26000000.0,26000.0,3.0,3.0,2.0,1.0,ST,"Aug 28, 2016",2021,195.58,88.8888888888889,70.0,52000000.0,0.0,0,2,2,71.0,37.0,10.4,58.25,65.0,70.0,78.5,51.5,94.0
206,M. Balotelli,27,Italy,83,83,OGC Nice,27500000.0,55000.0,4.0,4.0,4.0,2.0,ST,"Aug 31, 2016",2019,187.96,87.98185941043086,70.0,52300000.0,0.0,0,2,1,83.0,20.5,2.4,72.5,70.85714285714286,83.5,76.5,79.0,67.0
251,J. Vardy,31,England,82,82,Leicester City,20000000.0,96000.0,3.0,3.0,3.0,1.0,ST,"May 1, 2012",2022,177.8,73.92290249433107,92.0,38000000.0,0.0,0,3,3,76.0,52.0,12.4,64.75,78.57142857142857,72.5,78.5,90.0,69.0
252,A. Belotti,24,Italy,82,87,Torino,30000000.0,58000.0,3.0,5.0,3.0,2.0,ST,"Aug 17, 2015",2021,180.34,72.10884353741497,83.0,53300000.0,0.0,5,3,3,76.5,35.25,10.6,58.0,79.28571428571429,72.16666666666667,73.0,78.5,84.0
